S.No,Product Code,Description,Quantity,Total Price,Supplier
1,C500051,SK-3296S-01-L2 Slide Switch,5,0.39,LCSC
2,C5224028,PM2.54-1*9 Female Header (1x9P),5,0.52,LCSC
3,C2977589,2.54-2*20 Female Header (2x20P),5,0.97,LCSC
4,C53406,TXB0108PWR Level Shifter,5,1.25,LCSC
5,C41416467,SEEKINK E037A49 E-Ink Display,1,7.22,LCSC
6,,0603 Resistors (47k + 3R total),,0.25,LCSC
7,"https://www.silverlineelectronics.in/products/raspberry-pi-zero-2-silverline-india-authorised-distributor?variant=41596564144297,https://www.silverlineelectronics.in/products/usb-b-male-to-usb-a-female-otg-adaptor-official?variant=41014335176873,https://www.silverlineelectronics.in/products/copy-of-official-raspberry-pi-usb-b-male-to-usb-a-female-otg-adaptor-official?variant=41014361391273,https://www.silverlineelectronics.in/products/official-raspberry-pi-micro-sd-card-adapter?variant=41020736995497","Raspberry Pi Zero 2 W, Mini HDMI, OTG, SD card adapter",,21,Silverline
8,,PCB,,4,JLCPCB
9,,Shipping,,10,
10,,Total,,45.6,
